Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Other,Title 8,Apprehensions,8584,,,,,,,,,,,,
2020,FYTD,JAN,Office of Field Operations,Accompanied Minors,Mexico,Title 8,Inadmissibles,33,,,,,,,,,,,,
2019,FYTD,JUL,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2791,,,,,,,,,,,,
2021,FYTD,AUG,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,208,,,,,,,,,,,,
2020,FYTD,FEB,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,270,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,Single Adults,Honduras,Title 8,Inadmissibles,38,,,,,,,,,,,,
2019,FYTD,OCT,Office of Field Operations,Accompanied Minors,Honduras,Title 8,Inadmissibles,3,,,,,,,,,,,,
2019,FYTD,SEP,Office of Field Operations,Single Adults,Guatemala,Title 8,Inadmissibles,38,,,,,,,,,,,,
2021,FYTD,JUN,U.S. Border Patrol,FMUA,Other,Title 42,Expulsions,512,,,,,,,,,,,,
2019,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,1023,,,,,,,,,,,,
2021,FYTD,MAR,U.S. Border Patrol,Single Adults,Honduras,Title 42,Expulsions,10583,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,FMUA,Guatemala,Title 8,Inadmissibles,654,,,,,,,,,,,,
2019,FYTD,JUL,U.S. Border Patrol,FMUA,Mexico,Title 8,Apprehensions,489,,,,,,,,,,,,
2021,FYTD,APR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,12,,,,,,,,,,,,
2019,FYTD,MAR,Office of Field Operations,FMUA,El Salvador,Title 8,Inadmissibles,168,,,,,,,,,,,,
2020,FYTD,SEP,Office of Field Operations,Single Adults,Other,Title 8,Inadmissibles,39,,,,,,,,,,,,
2019,FYTD,JUN,Office of Field Operations,Accompanied Minors,El Salvador,Title 8,Inadmissibles,0,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,Single Adults,Honduras,Title 42,Expulsions,42,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,108,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,1,,,,,,,,,,,,
