Date,Price
22/02/2024,2019.699951
23/02/2024,2038.599976
26/02/2024,2028.5
27/02/2024,2034
28/02/2024,2033
29/02/2024,2045.699951
01/03/2024,2086.899902
04/03/2024,2117.699951
05/03/2024,2133.5
06/03/2024,2150.300049
07/03/2024,2158
08/03/2024,2178.600098
11/03/2024,2182.5
12/03/2024,2160.399902
13/03/2024,2175.399902
14/03/2024,2163
15/03/2024,2157.300049
18/03/2024,2160.699951
19/03/2024,2156.300049
20/03/2024,2157.899902
21/03/2024,2182.399902
22/03/2024,2158.100098
25/03/2024,2174.800049
26/03/2024,2175.600098
27/03/2024,2190.600098
28/03/2024,2217.399902
01/04/2024,2236.5
02/04/2024,2261
03/04/2024,2294.399902
04/04/2024,2288.800049
05/04/2024,2325.699951
08/04/2024,2331.699951
09/04/2024,2343.5
10/04/2024,2329.600098
11/04/2024,2354.800049
12/04/2024,2356.199951
15/04/2024,2365.800049
16/04/2024,2390.800049
17/04/2024,2371.699951
18/04/2024,2382.300049
19/04/2024,2398.399902
22/04/2024,2332.199951
23/04/2024,2327.699951
24/04/2024,2324.5
25/04/2024,2329.800049
26/04/2024,2334.800049
29/04/2024,2345.399902
30/04/2024,2291.399902
01/05/2024,2299.899902
02/05/2024,2299.199951
03/05/2024,2299
06/05/2024,2321.600098
07/05/2024,2315.199951
08/05/2024,2313.600098
09/05/2024,2332.100098
10/05/2024,2367.300049
13/05/2024,2336.100098
14/05/2024,2353.399902
15/05/2024,2388.699951
16/05/2024,2380
17/05/2024,2412.199951
20/05/2024,2433.899902
21/05/2024,2421.699951
22/05/2024,2389.199951
23/05/2024,2335
24/05/2024,2332.5
28/05/2024,2355.199951
